entry_time,exit_time,direction,entry_price,sl,tp,exit_price,outcome,pnl_gross,cost,pnl_net,rr_actual,result,capital,trend_1d,rsi,rsi_ma
2025-08-23 05:00:00,2025-08-23 11:00:00,LONG,4746.99,4694.63,5532.39,4694.63,SL,-193.34,17.43,-210.77,-1.09,LOSS,9456.0,bullish,64.19,76.87
2025-08-23 13:00:00,2025-08-24 17:00:00,LONG,4715.04,4704.95,4866.39,4866.39,TP,1730.13,54.76,1675.37,14.53,WIN,11131.37,bullish,57.89,63.96
2025-08-25 02:00:00,2025-08-25 04:00:00,LONG,4732.07,4701.04,5197.52,4701.04,SL,-222.63,33.84,-256.47,-1.15,LOSS,10874.91,bullish,43.93,56.22
2025-08-25 09:00:00,2025-08-25 10:00:00,LONG,4599.81,4591.37,4726.41,4591.37,SL,-113.74,61.93,-175.67,-1.54,LOSS,10699.24,bullish,32.18,43.58
2025-08-25 12:00:00,2025-08-25 19:00:00,LONG,4600.08,4544.21,5438.13,4544.21,SL,-213.98,17.51,-231.5,-1.08,LOSS,10467.74,bullish,37.76,39.78
2025-08-25 23:00:00,2025-08-26 00:00:00,LONG,4392.28,4350.81,5014.33,4350.81,SL,-209.35,22.07,-231.42,-1.11,LOSS,10236.32,bullish,29.58,35.44
2025-08-27 03:00:00,2025-08-27 07:00:00,LONG,4577.35,4562.83,4795.15,4562.83,SL,-185.08,58.25,-243.34,-1.31,LOSS,9992.98,bullish,55.96,56.53
2025-08-27 09:00:00,2025-08-27 10:00:00,LONG,4595.22,4580.46,4816.62,4580.46,SL,-182.96,56.87,-239.83,-1.31,LOSS,9753.15,bullish,55.85,57.9
2025-08-27 21:00:00,2025-08-27 22:00:00,LONG,4594.7,4565.7,5029.7,4565.7,SL,-195.06,30.81,-225.87,-1.16,LOSS,9527.28,bullish,51.24,55.25
2025-08-28 02:00:00,2025-08-28 15:00:00,LONG,4516.46,4493.67,4858.31,4493.67,SL,-190.55,37.67,-228.21,-1.2,LOSS,9299.07,bullish,41.94,50.0
2025-08-28 18:00:00,2025-08-28 19:00:00,LONG,4489.77,4465.12,4859.52,4465.12,SL,-185.98,33.78,-219.76,-1.18,LOSS,9079.31,bullish,38.43,49.98
2025-08-28 21:00:00,2025-08-29 01:00:00,LONG,4458.69,4438.49,4761.69,4438.49,SL,-181.59,39.99,-221.58,-1.22,LOSS,8857.73,bullish,36.66,46.31
2025-08-29 16:00:00,2025-08-30 01:00:00,LONG,4316.1,4282.48,4820.4,4282.48,SL,-177.15,22.65,-199.81,-1.13,LOSS,8657.92,bullish,35.71,35.89
2025-08-31 16:00:00,2025-08-31 19:00:00,LONG,4485.28,4459.81,4867.33,4459.81,SL,-173.16,30.41,-203.57,-1.18,LOSS,8454.36,bullish,60.48,60.87
